Register,raw_uint16,raw_int16,hex,best_guess_interpretation,decoded_ascii,Notes
41500,21325,21325,0x534D,String block start — model/SN prefix,"SM","Regs 41500-41503 form string ""SM471""; likely model code or SN prefix"
41501,13367,13367,0x3437,String continued,"47",Part of ""SM471"" string"
41502,12544,12544,0x3100,String continued with null terminator,"1\0",End of first string block ""SM471"""
41503,0,0,0x0000,Null padding,"","String terminator / padding"
41504,18529,18529,0x4861,String block 2 start — likely WiFi SSID,"Ha","Regs 41504-41509 decode to ""Hame147258"" — plausible WiFi hotspot SSID of comm module"
41505,28005,28005,0x6D65,String continued,"me",Part of SSID ""Hame147258"""
41506,12596,12596,0x3134,String continued,"14",Part of SSID
41507,14130,14130,0x3732,String continued,"72",Part of SSID
41508,13624,13624,0x3538,String continued,"58",End of SSID ""Hame147258"""
41509,0,0,0x0000,Null padding,"","String terminator"
41510,59723,-5813,0xE94B,Binary value — NOT ASCII; possibly WiFi channel / encryption type or checksum,"(binary)","High byte 0xE9 is non-ASCII; could be WPA key material or a binary config field"
41511,288,288,0x0120,Binary value — possibly continuation of 41510 field or a length/type byte,"(binary)","0x0120 = 288; could be WiFi channel or a 16-bit config value"
41512,22386,22386,0x5772,String block 3 start — ASCII,"Wr","Regs 41512-41515 decode to ""Write ee"" — possibly a firmware annotation or WiFi password fragment"
41513,26996,26996,0x6974,String continued,"it",Part of string
41514,25888,25888,0x6520,String continued,"e ","Note: includes trailing space"
41515,25957,25957,0x6565,String continued,"ee","End of string block — ""Write ee"" interpretation uncertain"
41600,0,0,0x0000,Unknown — all-zero block (41600–41631); possibly reserved or future config area,"","32 consecutive zero-value registers; not in README; could be a second schedule bank or reserved WiFi config area"
41601,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41602,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41603,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41604,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41605,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41606,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41607,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41608,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41609,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41610,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41611,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41612,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41613,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41614,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41615,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41616,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41617,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41618,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41619,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41620,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41621,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41622,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41623,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41624,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41625,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41626,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41627,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41628,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41629,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41630,0,0,0x0000,Zero — see 41600,"","Part of zero block"
41631,0,0,0x0000,Zero — see 41600,"","Last register of zero block"
45603,2448,2448,0x0990,Unknown — possibly a calibration or energy/power value,"","×0.01 = 24.48 kWh? ×0.1 = 244.8 V? Context unclear; isolated register"
45604,9095,9095,0x2387,Unknown — possibly serial number fragment or date-coded value,"","9095 decimal; no obvious scale match; could be a product code or timestamp"
45605,74,74,0x004A,Unknown — small integer; possibly a counter or status flag,"","74 decimal = 0x4A = ASCII 'J'; could be a version digit or index"
47400,43707,-21829,0xAABB,Magic number / test pattern — 0xAABB is a known embedded sentinel,"","0xAABB paired with rs485_control_mode 0x55AA at 42000; possibly the RS485 ""off"" handshake marker or a factory test register; write-side counterpart unknown"
